seed,n_train,n_val,n_test,train_late_rate,val_late_rate,test_late_rate,n_synthetic,xgb_val_auc,xgb_val_f1,xgb_val_precision,xgb_val_recall,xgb_val_ap,xgb_test_auc,xgb_test_f1,xgb_test_precision,xgb_test_recall,xgb_test_ap,xgb_test_accuracy,xgb_opt_threshold,xgb_test_opt_f1,xgb_test_opt_precision,xgb_test_opt_recall,mlp_val_auc,mlp_val_f1,mlp_val_precision,mlp_val_recall,mlp_val_ap,mlp_test_auc,mlp_test_f1,mlp_test_precision,mlp_test_recall,mlp_test_ap,mlp_test_accuracy,mlp_opt_threshold,mlp_test_opt_f1,mlp_test_opt_precision,mlp_test_opt_recall,split_time_s
1,4483,1079,795,0.2846308275708231,0.32344763670064874,0.2679245283018868,1931,0.7870412528947679,0.5944584382871536,0.5303370786516854,0.6762177650429799,0.6735774173060886,0.7720262007324589,0.5504587155963303,0.5381165919282511,0.5633802816901409,0.6175517371678042,0.7534591194968554,0.4299999999999998,0.5547169811320755,0.4637223974763407,0.6901408450704225,0.771385955960278,0.593939393939394,0.45865834633385333,0.8424068767908309,0.6472561935109833,0.7401182582320959,0.5191082802547771,0.3927710843373494,0.7652582159624414,0.5854317250696393,0.620125786163522,0.6099999999999998,0.5080831408775982,0.5,0.5164319248826291,53.1846649646759
2,4352,1000,1005,0.28377757352941174,0.268,0.3333333333333333,1882,0.7499158918522144,0.5354609929078015,0.5101351351351351,0.5634328358208955,0.5922974581335395,0.7892604143461796,0.6112676056338028,0.5786666666666667,0.6477611940298508,0.6804594086180302,0.7253731343283583,0.4999999999999998,0.6112676056338028,0.5786666666666667,0.6477611940298508,0.7572919215398417,0.5062146892655367,0.36304700162074555,0.835820895522388,0.5871806574920467,0.7707774560035644,0.6016096579476862,0.4537177541729894,0.8925373134328358,0.6495610212797184,0.6059701492537314,0.5899999999999997,0.6095979247730221,0.5389908256880734,0.7014925373134329,34.82942318916321
3,4157,1028,1172,0.27784459947077217,0.32782101167315175,0.295221843003413,1847,0.7626370417448587,0.5696,0.6180555555555556,0.5281899109792285,0.6690537878142395,0.7187101988831195,0.5056320400500626,0.445916114790287,0.5838150289017341,0.5423845186695839,0.6629692832764505,0.46999999999999986,0.530214424951267,0.4,0.7861271676300579,0.7598028058934929,0.5878661087866108,0.45395799676898224,0.8338278931750742,0.647583032796777,0.6849046172794581,0.49133537206931704,0.3795275590551181,0.6965317919075145,0.5008906693906591,0.5742320819112628,0.5599999999999997,0.48325358851674644,0.4122448979591837,0.5838150289017341,38.03051400184631
4,4518,996,843,0.28375387339530767,0.3132530120481928,0.28944246737841045,1954,0.7872268143649723,0.6111111111111112,0.5041666666666667,0.7756410256410257,0.6545363107721636,0.7769917074906265,0.5799648506151143,0.5076923076923077,0.6762295081967213,0.6574915934106604,0.7164887307236062,0.4999999999999998,0.5799648506151143,0.5076923076923077,0.6762295081967213,0.7677219223271855,0.5884816753926702,0.4370139968895801,0.9006410256410257,0.6191249909348351,0.7464353156900845,0.5428194993412385,0.4,0.8442622950819673,0.6067194222780715,0.5883748517200474,0.5199999999999998,0.5457063711911357,0.4121338912133891,0.8073770491803278,33.0586211681366
5,4762,764,831,0.29042419151616966,0.28403141361256545,0.28640192539109505,1996,0.7906511428065949,0.5673469387755102,0.5091575091575091,0.6405529953917051,0.6346986432189704,0.7959811243215669,0.581532416502947,0.5461254612546126,0.6218487394957983,0.6826143006382192,0.7436823104693141,0.48999999999999977,0.5673249551166966,0.4952978056426332,0.6638655462184874,0.7614175351098156,0.566813509544787,0.41594827586206895,0.8894009216589862,0.604219438288556,0.7903127524196862,0.5617977528089888,0.4219409282700422,0.8403361344537815,0.6736793245483761,0.6245487364620939,0.5399999999999998,0.5665101721439749,0.4513715710723192,0.7605042016806722,45.25316071510315
6,4354,866,1137,0.28663298116674324,0.2921478060046189,0.2963940193491645,1858,0.784152970229997,0.5891472868217055,0.5779467680608364,0.6007905138339921,0.6465377921755332,0.7032807863501483,0.4657534246575342,0.478125,0.4540059347181009,0.5360311267009437,0.6912928759894459,0.4999999999999998,0.4657534246575342,0.478125,0.4540059347181009,0.7864129628793788,0.5699614890885751,0.4220532319391635,0.8774703557312253,0.6370391073835944,0.6522366468842731,0.4861407249466951,0.3793677204658902,0.6765578635014837,0.48962489174211266,0.5760773966578716,0.5199999999999998,0.48484848484848486,0.39923224568138194,0.6172106824925816,24.14549946784973
7,4519,877,961,0.29187873423323746,0.29076396807297605,0.27471383975026015,1881,0.7892062291154405,0.5565862708719852,0.528169014084507,0.5882352941176471,0.6664712028810829,0.7926720577366201,0.5500910746812386,0.5298245614035088,0.571969696969697,0.6286045464758112,0.7429760665972945,0.48999999999999977,0.5579078455790785,0.4155844155844156,0.8484848484848485,0.7589843011159447,0.5488958990536278,0.45910290237467016,0.6823529411764706,0.6383161509375953,0.7765368897004479,0.5650969529085873,0.44541484716157204,0.7727272727272727,0.5992151079394212,0.6732570239334027,0.47999999999999976,0.5612244897959183,0.4230769230769231,0.8333333333333334,28.699781894683838
8,4436,940,981,0.2840396753832281,0.27872340425531916,0.3221202854230377,1916,0.7896428651849849,0.5829145728643216,0.5194029850746269,0.6641221374045801,0.6319112887352508,0.8050775673360617,0.6271870794078062,0.5456674473067916,0.7373417721518988,0.6843642949324635,0.7176350662589195,0.4999999999999998,0.6271870794078062,0.5456674473067916,0.7373417721518988,0.7732638654326824,0.5550122249388753,0.40827338129496404,0.8664122137404581,0.6081104454604802,0.7977610164652138,0.6091703056768559,0.465,0.8829113924050633,0.6824658230315741,0.6350662589194699,0.5499999999999998,0.6226650062266501,0.5133470225872689,0.7911392405063291,29.532508850097656
9,4345,1046,966,0.28055235903337167,0.29063097514340347,0.32608695652173914,1907,0.759502677684778,0.5501432664756447,0.4873096446700508,0.631578947368421,0.5958131817527499,0.7827298661400044,0.5936199722607489,0.5270935960591133,0.6793650793650794,0.6521533594405654,0.6966873706004141,0.4999999999999998,0.5936199722607489,0.5270935960591133,0.6793650793650794,0.7373275464604907,0.5327604726100966,0.39553429027113235,0.8157894736842105,0.5677212238974176,0.7516519152463854,0.5825027685492802,0.44727891156462585,0.834920634920635,0.6302400743259416,0.6097308488612836,0.5799999999999997,0.5619596541786743,0.5145118733509235,0.6190476190476191,27.441959142684937
10,4586,813,958,0.28892280854775404,0.3038130381303813,0.2776617954070981,1936,0.7734617530507433,0.5590062111801242,0.5720338983050848,0.5465587044534413,0.636534812502996,0.795384414794211,0.574430823117338,0.5377049180327869,0.6165413533834586,0.6616130186488939,0.7463465553235908,0.46999999999999986,0.5518169582772544,0.429769392033543,0.7706766917293233,0.7670061944750433,0.5714285714285714,0.4345991561181435,0.8340080971659919,0.6380303999785306,0.7660018905645617,0.5286549707602339,0.3837011884550085,0.849624060150376,0.6146631533360889,0.5793319415448852,0.5699999999999997,0.5598885793871866,0.4446902654867257,0.7556390977443609,51.048189640045166
11,4311,1143,903,0.2911157504059383,0.30358705161854765,0.26135105204872644,1801,0.7519676914833533,0.5250737463126843,0.5377643504531722,0.5129682997118156,0.6079434950249019,0.8050180418265442,0.5657370517928287,0.5338345864661654,0.6016949152542372,0.6400046770889563,0.7585825027685493,0.46999999999999986,0.5523809523809524,0.40681362725450904,0.8601694915254238,0.6718589344416606,0.512396694214876,0.3993558776167472,0.7146974063400576,0.5099545640723324,0.7381806977866999,0.4913678618857902,0.3578336557059961,0.7838983050847458,0.562370714612046,0.5758582502768549,0.48999999999999977,0.49154746423927176,0.3545966228893058,0.8008474576271186,19.832934617996216
12,4293,922,1142,0.29117167481947354,0.27006507592190887,0.2968476357267951,1793,0.7916480185228282,0.5698924731182796,0.5145631067961165,0.6385542168674698,0.6233744919006641,0.7277006946663875,0.5006353240152478,0.43973214285714285,0.5811209439528023,0.5676830396187678,0.6558669001751314,0.5099999999999998,0.476038338658147,0.519163763066202,0.43952802359882004,0.7610053885676435,0.5289514866979655,0.43333333333333335,0.678714859437751,0.5730409267187887,0.6775311608018604,0.49696969696969695,0.4218106995884774,0.6047197640117994,0.5395298508904256,0.6366024518388792,0.44999999999999984,0.4887459807073955,0.3838383838383838,0.672566371681416,39.59064292907715
13,4229,1075,1053,0.2832820997871837,0.2744186046511628,0.32763532763532766,1833,0.7669513255106476,0.5221518987341772,0.4896142433234421,0.559322033898305,0.5868214104702766,0.7797142389257348,0.6046511627906976,0.5233050847457628,0.7159420289855073,0.6488624613722195,0.6932573599240266,0.48999999999999977,0.6069114470842333,0.4836488812392427,0.8144927536231884,0.7211886136462408,0.50625,0.36541353383458647,0.823728813559322,0.5298534698377892,0.7771391140587899,0.5874769797421732,0.43049932523616735,0.9246376811594202,0.6472075491584341,0.5745489078822412,0.5399999999999998,0.604,0.46106870229007635,0.8753623188405797,23.571247816085815
14,4493,942,922,0.29356777208991763,0.25796178343949044,0.2993492407809111,1855,0.7641045114419777,0.5660377358490566,0.5226480836236934,0.6172839506172839,0.6138179074629074,0.7709455063489927,0.5728155339805825,0.5175438596491229,0.6413043478260869,0.6641857550233289,0.7136659436008677,0.5099999999999998,0.5807560137457045,0.5522875816993464,0.6123188405797102,0.7370346821149556,0.4866920152091255,0.3516483516483517,0.7901234567901234,0.5447421420781379,0.7365280208193117,0.5308775731310943,0.3786707882534776,0.8876811594202898,0.5890438548362583,0.5303687635574837,0.5699999999999997,0.5454545454545454,0.44,0.717391304347826,23.224332332611084
15,4694,863,800,0.29186195142735405,0.2966396292004635,0.265,1954,0.7812660883443163,0.5565862708719852,0.5300353356890459,0.5859375,0.6409635643156552,0.7892119111795661,0.5311004784688995,0.5388349514563107,0.5235849056603774,0.6145638349725152,0.755,0.47999999999999976,0.5503875968992248,0.46710526315789475,0.6698113207547169,0.7526577944810544,0.545201668984701,0.42332613390928725,0.765625,0.6140720678247238,0.7683865999229882,0.5348460291734197,0.4074074074074074,0.7783018867924528,0.5831365199364197,0.64125,0.5599999999999997,0.5338809034907598,0.4727272727272727,0.6132075471698113,32.47933602333069
