metric,xgb_mean,xgb_std,xgb_ci_lower,xgb_ci_upper,xgb_min,xgb_max,mlp_mean,mlp_std,mlp_ci_lower,mlp_ci_upper,mlp_min,mlp_max,delta_mean,delta_std,paired_t_stat,paired_p_value
Test AUC-ROC,0.7716782722231621,0.02768548401252988,0.7613403425937652,0.782016201852559,0.7032807863501483,0.8171468507966576,0.7467929583392314,0.033774182717912694,0.7341814712483735,0.7594044454300893,0.6522366468842731,0.7977610164652138,0.02488531388393027,0.01778250661797882,7.664975505221735,1.883624291133463e-08
Test F1 (t=0.5),0.5604254936789125,0.040221520621373685,0.545406531049149,0.5754444563086759,0.4657534246575342,0.6455445544554456,0.5464131561861627,0.03856886794424199,0.5320113042079699,0.5608150081643555,0.4861407249466951,0.613614573346117,0.014012337492749738,0.029442285277352626,2.606751906604894,0.014285672760253597
Test Precision,0.5229630912191159,0.05006670315408651,0.5042678770141339,0.5416583054240979,0.4385026737967914,0.6586538461538461,0.41542452919918793,0.036419384817952254,0.4018253074112098,0.42902375098716605,0.3578336557059961,0.483695652173913,0.10753856201992797,0.03715963538049338,15.850881101729692,8.025352307070764e-16
Test Recall,0.6099989476490125,0.06362034456745688,0.5862427205648593,0.6337551747331658,0.4540059347181009,0.7373417721518988,0.8068345837930339,0.08083559953191359,0.7766500748592972,0.8370190927267706,0.6047197640117994,0.9246376811594202,-0.1968356361440212,0.07767638073050478,-13.879549616376542,2.4444532550459263e-14
Test AP,0.6339912467139329,0.045762398284776275,0.6169032863616292,0.6510792070662367,0.5360311267009437,0.6943165884812679,0.6014872900537225,0.052745951908809374,0.5817916279218255,0.6211829521856195,0.48962489174211266,0.7020625991385688,0.0325039566602103,0.02165158426175735,8.22256240270266,4.577117506502624e-09
Val AUC-ROC,0.7729920977892486,0.022094222604905414,0.7647419794816774,0.7812422160968198,0.7275681341719077,0.8164331924586771,0.7466108122865752,0.029420748994486223,0.7356249240640144,0.7575967005091361,0.6718589344416606,0.7898963386079425,0.026381285502673116,0.01622282622405717,8.906971551214934,8.517971147177002e-10
Test F1 (opt-t),0.5602815245717655,0.03965298865816662,0.5454748552660067,0.5750881938775243,0.4657534246575342,0.6271870794078062,0.5470554670391065,0.04213584107680306,0.5313216854035642,0.5627892486746487,0.48325358851674644,0.6226650062266501,0.013226057532658885,0.026729223277334152,2.710220937711025,0.011173410201851378
